Price,Close,High,Low,Open,Volume
Date,,,,,
1998-03-26,3891.75,3992.889892578130,3883.159912109380,3970.760009765630,0
1998-03-27,3908.60009765625,3917.6298828125,3861.179931640630,3880.330078125,0
1998-03-30,3897.97998046875,3980.89990234375,3896.860107421880,3952.2099609375,0
1998-03-31,3892.75,3919.080078125,3875.22998046875,3894.530029296880,0
1998-04-01,3969.570068359380,3974.10009765625,3901.43994140625,3901.43994140625,0
1998-04-02,3992.719970703130,4049.659912109380,3978.31005859375,3986.60009765625,0
1998-04-03,4076.050048828130,4078.3798828125,4012.419921875,4012.719970703130,0
1998-04-06,4170.22021484375,4184.3701171875,4122.7099609375,4130.919921875,0
1998-04-07,4194.27001953125,4216.580078125,4156.52001953125,4159.18994140625,0
1998-04-10,4118.2900390625,4185.14990234375,4103.4599609375,4172.85986328125,0
1998-04-13,4085.929931640630,4133.72021484375,4051.580078125,4051.580078125,0
1998-04-15,4192.5,4213.06982421875,4119.259765625,4119.259765625,0
1998-04-16,4134.31982421875,4208.56005859375,4132.66015625,4195.52978515625,0
1998-04-17,4186.759765625,4188.3701171875,4117.580078125,4134.93017578125,0
1998-04-20,4210.72998046875,4286.83984375,4208.56005859375,4217.75,0
1998-04-21,4280.9599609375,4285.56982421875,4235.3701171875,4235.3701171875,0
1998-04-22,4179.43994140625,4322.0,4179.43994140625,4305.60986328125,0
1998-04-23,4092.22998046875,4202.169921875,4084.14990234375,4161.31005859375,0
1998-04-24,4050.97998046875,4104.97998046875,3954.31005859375,4088.139892578130,0
1998-04-27,4082.830078125,4138.2099609375,4059.679931640630,4098.169921875,0
1998-04-28,4082.830078125,4138.2099609375,4059.679931640630,4098.169921875,0
1998-04-29,3970.280029296880,4085.760009765630,3964.949951171880,4076.22998046875,0
1998-04-30,4006.81005859375,4015.639892578130,3926.360107421880,3970.5,0
1998-05-04,4135.81005859375,4141.330078125,4058.75,4058.75,0
1998-05-05,4147.2900390625,4156.580078125,4113.7900390625,4142.31982421875,0
1998-05-06,4069.7900390625,4145.60009765625,4045.9599609375,4145.60009765625,0
1998-05-08,4022.199951171880,4056.4599609375,4014.719970703130,4049.1298828125,0
1998-05-12,3945.1298828125,4007.429931640630,3917.89990234375,4007.429931640630,0
1998-05-13,3782.760009765630,3906.669921875,3776.330078125,3897.8798828125,0
1998-05-14,3897.93994140625,3898.68994140625,3748.6298828125,3789.070068359380,0
1998-05-15,3849.800048828130,3924.409912109380,3832.860107421880,3909.8798828125,0
1998-05-18,3908.47998046875,3943.159912109380,3890.840087890630,3892.5400390625,0
1998-05-19,3924.419921875,3924.419921875,3895.7099609375,3907.75,0
1998-05-20,3956.929931640630,3965.85009765625,3920.6298828125,3930.010009765630,0
1998-05-21,3908.7900390625,3980.2099609375,3889.97998046875,3969.6201171875,0
1998-05-22,3897.10009765625,3930.64990234375,3881.830078125,3914.340087890630,0
1998-05-25,3908.110107421880,3934.0,3878.0400390625,3882.030029296880,0
1998-05-26,3875.06005859375,3915.429931640630,3870.760009765630,3906.739990234380,0
1998-05-27,3777.18994140625,3843.449951171880,3771.389892578130,3843.449951171880,0
1998-05-28,3721.929931640630,3797.239990234380,3712.52001953125,3754.72998046875,0
1998-05-29,3686.389892578130,3747.570068359380,3589.239990234380,3673.449951171880,0
1998-06-01,3642.679931640630,3823.14990234375,3640.300048828130,3737.25,0
1998-06-02,3573.2099609375,3646.360107421880,3540.610107421880,3634.22998046875,0
1998-06-03,3597.97998046875,3600.35009765625,3483.81005859375,3572.9599609375,0
1998-06-04,3546.2099609375,3617.139892578130,3538.9599609375,3598.330078125,0
1998-06-05,3417.889892578130,3536.0,3417.889892578130,3527.669921875,0
1998-06-08,3416.72998046875,3492.47998046875,3256.510009765630,3455.570068359380,0
1998-06-09,3468.070068359380,3476.909912109380,3372.179931640630,3426.2900390625,0
